Question,Answer
ずんだもんとは,SSS合同会社によるずんだ餅をモチーフにした東北地方のマスコットキャラクター
ずんだもんの性別は,女
ずんだもんの種族は,ずんだの妖精
ずんだもんの特技は,ずんだアローへの変身
ずんだもんは誰にデザインされましたか,江戸村ににこ
ずんだもんは誰の声を基にしている,伊藤ゆいな
ずんだもんの一人称は,ボク
ずんだもんの趣味は,その辺をふらふらすること
ずんだもんの語尾は,～（な）のだ
ずんだもんの容姿の特徴,頭部に鞘入りの枝豆のような形をした耳がある
ずんだもんの全体的な色のイメージ,ライトグリーン
ずんだもんのプロジェクト,東北ずん子・ずんだもんプロジェクト
ずんだもんの好きなもの,ずんだ餅
ずんだもんの種族は,ずんだの妖精
ずんだもんの誕生日は,12月5日
ずんだもんの身長は,140cmくらい
ずんだもんの知性の上げ方,ずんだ餅を食べる
ずんだもんの人気はいつから,2021年8月ごろ
ずんだもんとは,SSS合同会社によるずんだ餅をモチーフにした東北地方のマスコットキャラクター
ずんだもんの性別は,女
ずんだもんの種族は,ずんだの妖精
ずんだもんの特技は,ずんだアローへの変身
ずんだもんは誰にデザインされましたか,江戸村ににこ
ずんだもんは誰の声を基にしている,伊藤ゆいな
ずんだもんの一人称は,ボク
ずんだもんの趣味は,その辺をふらふらすること
ずんだもんの語尾は,～（な）のだ
ずんだもんの容姿の特徴,頭部に鞘入りの枝豆のような形をした耳がある
ずんだもんの全体的な色のイメージ,ライトグリーン
ずんだもんのプロジェクト,東北ずん子・ずんだもんプロジェクト
ずんだもんの好きなもの,ずんだ餅
ずんだもんの種族は,ずんだの妖精
ずんだもんの誕生日は,12月5日
ずんだもんの身長は,140cmくらい
ずんだもんの知性の上げ方,ずんだ餅を食べる
ずんだもんの人気はいつから,2021年8月ごろ
ずんだもんとは,SSS合同会社によるずんだ餅をモチーフにした東北地方のマスコットキャラクター
ずんだもんの性別は,女
ずんだもんの種族は,ずんだの妖精
ずんだもんの特技は,ずんだアローへの変身
ずんだもんは誰にデザインされましたか,江戸村ににこ
ずんだもんは誰の声を基にしている,伊藤ゆいな
ずんだもんの一人称は,ボク
ずんだもんの趣味は,その辺をふらふらすること
ずんだもんの語尾は,～（な）のだ
ずんだもんの容姿の特徴,頭部に鞘入りの枝豆のような形をした耳がある
ずんだもんの全体的な色のイメージ,ライトグリーン
ずんだもんのプロジェクト,東北ずん子・ずんだもんプロジェクト
ずんだもんの好きなもの,ずんだ餅
ずんだもんの種族は,ずんだの妖精
ずんだもんの誕生日は,12月5日
ずんだもんの身長は,140cmくらい
ずんだもんの知性の上げ方,ずんだ餅を食べる
ずんだもんの人気はいつから,2021年8月ごろ
ずんだもんとは,SSS合同会社によるずんだ餅をモチーフにした東北地方のマスコットキャラクター
ずんだもんの性別は,女
ずんだもんの種族は,ずんだの妖精
ずんだもんの特技は,ずんだアローへの変身
ずんだもんは誰にデザインされましたか,江戸村ににこ
ずんだもんは誰の声を基にしている,伊藤ゆいな
ずんだもんの一人称は,ボク
ずんだもんの趣味は,その辺をふらふらすること
ずんだもんの語尾は,～（な）のだ
ずんだもんの容姿の特徴,頭部に鞘入りの枝豆のような形をした耳がある
ずんだもんの全体的な色のイメージ,ライトグリーン
ずんだもんのプロジェクト,東北ずん子・ずんだもんプロジェクト
ずんだもんの好きなもの,ずんだ餅
ずんだもんの種族は,ずんだの妖精
ずんだもんの誕生日は,12月5日
ずんだもんの身長は,140cmくらい
ずんだもんの知性の上げ方,ずんだ餅を食べる
ずんだもんの人気はいつから,2021年8月ごろ
ずんだもんとは,SSS合同会社によるずんだ餅をモチーフにした東北地方のマスコットキャラクター
ずんだもんの性別は,女
ずんだもんの種族は,ずんだの妖精
ずんだもんの特技は,ずんだアローへの変身
ずんだもんは誰にデザインされましたか,江戸村ににこ
ずんだもんは誰の声を基にしている,伊藤ゆいな
ずんだもんの一人称は,ボク
ずんだもんの趣味は,その辺をふらふらすること
ずんだもんの語尾は,～（な）のだ
ずんだもんの容姿の特徴,頭部に鞘入りの枝豆のような形をした耳がある
ずんだもんの全体的な色のイメージ,ライトグリーン
ずんだもんのプロジェクト,東北ずん子・ずんだもんプロジェクト
ずんだもんの好きなもの,ずんだ餅
ずんだもんの種族は,ずんだの妖精
ずんだもんの誕生日は,12月5日
ずんだもんの身長は,140cmくらい
ずんだもんの知性の上げ方,ずんだ餅を食べる
ずんだもんの人気はいつから,2021年8月ごろ
ずんだもんとは,SSS合同会社によるずんだ餅をモチーフにした東北地方のマスコットキャラクター
ずんだもんの性別は,女
ずんだもんの種族は,ずんだの妖精
ずんだもんの特技は,ずんだアローへの変身
ずんだもんは誰にデザインされましたか,江戸村ににこ
ずんだもんは誰の声を基にしている,伊藤ゆいな
ずんだもんの一人称は,ボク
ずんだもんの趣味は,その辺をふらふらすること
ずんだもんの語尾は,～（な）のだ
ずんだもんの容姿の特徴,頭部に鞘入りの枝豆のような形をした耳がある
ずんだもんの全体的な色のイメージ,ライトグリーン
ずんだもんのプロジェクト,東北ずん子・ずんだもんプロジェクト
ずんだもんの好きなもの,ずんだ餅
ずんだもんの種族は,ずんだの妖精
ずんだもんの誕生日は,12月5日
ずんだもんの身長は,140cmくらい
ずんだもんの知性の上げ方,ずんだ餅を食べる
ずんだもんの人気はいつから,2021年8月ごろ
